viewer_uid,age,sex,age_class
10087154,30,male,1
10908708,25,female,1
10190464,34,male,2
10939673,25,male,1
10288257,48,male,3
10128824,33,male,2
10736308,23,female,1
10050652,48,male,3
10451714,20,female,0
10182639,42,male,3
10186548,45,male,3
11125094,24,male,1
10157426,41,male,3
10051529,39,male,2
10095486,28,female,1
10671748,24,male,1
10380437,36,male,2
10158069,39,male,2
10168969,41,male,3
10147437,42,male,3
10531803,28,female,1
10391791,24,female,1
10062010,50,male,3
10842487,45,male,3
10075748,28,female,1
10151514,36,male,2
10703862,28,female,1
10266575,29,male,1
10157433,52,female,3
10345287,26,male,1
10500780,49,female,3
10855138,38,male,2
10820980,21,male,1
10164205,21,female,1
10679522,32,male,2
10486893,41,female,3
10099061,37,male,2
10241868,37,male,2
10796780,25,female,1
10016845,29,female,1
10380361,22,female,1
10795508,36,male,2
10048593,34,male,2
10686439,19,female,0
10270121,31,female,2
10175070,46,male,3
10069776,43,female,3
10148450,24,female,1
10085793,43,female,3
10572531,53,female,3
10173201,39,male,2
10079330,24,female,1
10014504,35,female,2
10061511,27,female,1
10152946,48,male,3
10969087,36,female,2
10049801,29,male,1
10345449,42,male,3
10030834,50,male,3
10629619,53,female,3
10017010,30,female,1
10489100,43,male,3
10136558,38,male,2
10075092,54,female,3
11082740,44,male,3
10075295,28,female,1
10174340,33,male,2
10067889,30,female,1
10050973,28,female,1
10046439,38,female,2
10007753,23,female,1
10364556,35,male,2
10041746,42,female,3
10130205,30,male,1
10001154,37,male,2
10837786,38,male,2
10278410,30,female,1
10024742,24,male,1
10840531,37,female,2
10095263,24,female,1
10025430,42,female,3
10190880,39,male,2
11122903,27,female,1
10046891,27,female,1
10050585,33,male,2
10108750,41,male,3
10867952,22,female,1
10099890,24,male,1
10506453,30,male,1
10681851,33,female,2
10941287,43,male,3
10944161,36,male,2
10159614,43,male,3
10035406,44,female,3
10083349,46,female,3
10022964,37,female,2
10640577,27,male,1
10166985,53,male,3
10086918,26,female,1
10179284,50,male,3
10032798,30,female,1
10030017,31,female,2
10150731,44,female,3
10579116,23,male,1
10327642,46,male,3
10380440,23,female,1
10194350,29,female,1
10352586,35,male,2
10249528,38,female,2
10610240,24,male,1
10047835,24,female,1
10170258,36,male,2
10065861,34,female,2
11124399,37,female,2
10041568,38,female,2
10004064,42,male,3
10356417,46,male,3
10198915,37,male,2
10672697,34,female,2
10689068,27,female,1
10374802,34,male,2
10105196,38,male,2
10230286,38,male,2
10050343,41,female,3
10110328,39,female,2
10055940,41,male,3
10831892,32,female,2
10073501,24,female,1
10091486,27,male,1
10119755,40,female,2
10649461,30,male,1
10033682,37,male,2
10687685,22,male,1
10103503,22,female,1
11034920,53,male,3
11119582,30,male,1
10082222,30,male,1
10663179,22,male,1
10671942,28,male,1
10168884,26,female,1
11067849,22,female,1
10635767,22,female,1
10152157,25,male,1
10057103,41,female,3
10855599,31,female,2
10650750,43,female,3
10654013,42,female,3
10060170,21,female,1
10845140,33,female,2
10195037,41,male,3
10098867,24,male,1
10058843,39,female,2
10481455,22,male,1
10081569,24,male,1
10228802,38,male,2
10094624,30,male,1
10679264,26,female,1
10050524,37,female,2
10226231,40,male,2
10099211,24,female,1
10001121,39,male,2
10062176,31,female,2
10116371,50,female,3
10676253,27,male,1
10051450,27,male,1
10092437,33,male,2
10100310,32,male,2
10127212,38,female,2
10568203,26,female,1
10835702,27,female,1
10006375,51,male,3
10122208,43,male,3
10640233,32,male,2
10309564,20,female,0
10174068,31,male,2
10452107,24,female,1
10192417,50,male,3
10174056,38,male,2
10373961,33,male,2
10380282,23,female,1
10301004,29,female,1
11020043,36,male,2
10592047,41,male,3
10101420,22,female,1
10156369,34,male,2
10260928,24,female,1
10016475,31,female,2
10170445,39,female,2
10859670,28,female,1
10068184,19,female,0
10102872,25,female,1
10182890,23,female,1
10019505,40,male,2
10592538,48,female,3
10471768,22,male,1
10681435,21,male,1
10043302,25,female,1
10011283,28,female,1
10000019,33,male,2
10058910,34,male,2
10093911,22,male,1
10892756,28,male,1
10022848,31,female,2
10206584,43,male,3
10661899,29,female,1
10239681,38,male,2
10094917,25,female,1
10373777,26,male,1
10168349,34,male,2
10250803,42,male,3
10372246,38,female,2
10129156,52,male,3
10183629,31,male,2
10234609,23,female,1
10364455,28,female,1
10105634,30,male,1
10173595,33,female,2
10030816,36,male,2
10108459,21,male,1
10052558,39,male,2
10025700,37,female,2
10682524,33,female,2
10707006,50,male,3
10247639,40,male,2
10275328,27,female,1
10500946,33,female,2
10418900,44,male,3
10087264,28,female,1
10885920,22,male,1
10181190,34,male,2
10646758,42,female,3
10479160,36,female,2
10088746,25,male,1
10159689,39,male,2
10053280,27,female,1
10082929,38,male,2
10867298,37,female,2
11019169,54,male,3
10232352,46,female,3
10061900,27,male,1
10431171,27,female,1
10678306,26,male,1
10275798,37,male,2
10848044,25,female,1
10048414,33,male,2
10632744,50,female,3
10070021,30,female,1
10468066,47,female,3
10824355,31,male,2
10380925,35,male,2
10165053,41,female,3
10175841,19,female,0
10055340,35,female,2
10002777,45,male,3
10178938,18,female,0
10042797,25,female,1
10014945,27,female,1
10077993,35,female,2
10203154,35,male,2
11067522,27,female,1
10867617,24,female,1
10831157,29,male,1
10246373,34,female,2
10068482,39,male,2
10166440,36,male,2
10514590,18,female,0
10907195,24,male,1
10020412,34,female,2
10679196,26,female,1
10901580,53,male,3
10266478,21,male,1
10069275,36,male,2
10701344,41,male,3
10094785,18,female,0
10016977,25,female,1
10054811,28,female,1
10633822,33,female,2
10001310,38,female,2
10381566,33,male,2
10440955,52,female,3
10295097,41,female,3
10866915,19,female,0
10087849,24,female,1
10390483,42,male,3
10732376,29,female,1
10070590,25,female,1
10083014,20,female,0
10963144,34,female,2
10243158,24,female,1
10049432,23,female,1
10274028,25,female,1
10213921,42,male,3
10007651,40,female,2
10090423,24,female,1
10046621,26,male,1
10031142,25,female,1
10310123,16,female,0
10093243,42,male,3
10082351,20,female,0
10069264,26,male,1
10099125,25,male,1
10079098,36,female,2
10120290,26,female,1
10038843,33,female,2
10080369,25,female,1
10395256,50,male,3
10004339,43,male,3
10020406,22,female,1
10090437,38,male,2
10657226,37,female,2
10678686,48,male,3
10038679,31,male,2
10058929,33,male,2
10292015,50,male,3
10068940,44,female,3
10931480,24,male,1
10109127,40,male,2
10002759,44,male,3
10105946,37,male,2
10007589,35,male,2
10007202,49,female,3
10170829,46,male,3
10732873,33,male,2
10795065,30,male,1
10841854,38,female,2
10018298,30,female,1
10178474,37,male,2
10104089,41,female,3
11109868,32,female,2
10795681,33,female,2
10110048,30,male,1
10259321,39,male,2
10107592,29,male,1
10056991,42,male,3
10829618,35,male,2
10074163,31,female,2
10040710,25,female,1
10107214,36,male,2
10321440,24,female,1
10010293,27,female,1
10445524,37,female,2
10504900,34,female,2
10091308,44,male,3
10438952,39,male,2
11128915,39,female,2
10370380,36,male,2
10682234,50,female,3
10595444,26,male,1
10328674,24,female,1
10798841,41,male,3
10058211,33,female,2
10463156,35,male,2
10174099,50,male,3
10372414,54,female,3
10092381,29,female,1
10677116,34,male,2
10357008,46,male,3
10160612,46,male,3
10704036,30,male,1
10694797,52,female,3
10661838,35,male,2
10012387,33,female,2
10081133,34,male,2
11115216,40,male,2
10058652,42,male,3
10686473,24,male,1
10033633,17,female,0
10149328,39,male,2
10048690,24,male,1
10160744,47,male,3
10050971,35,female,2
10553010,27,male,1
10850520,24,female,1
10021301,27,female,1
10070688,40,female,2
10636678,50,male,3
10098123,34,male,2
10440753,26,male,1
10308471,43,female,3
10161024,48,male,3
10133478,40,male,2
10083737,24,female,1
10757043,21,female,1
10889261,37,male,2
10269003,30,male,1
10188020,36,female,2
10530993,30,male,1
11115806,36,female,2
10388490,36,male,2
10104688,38,male,2
10175747,41,male,3
10074179,54,female,3
10370115,33,male,2
10107510,42,female,3
10010742,50,male,3
10803887,29,male,1
10203309,34,male,2
10083511,19,female,0
10091220,22,female,1
10720245,41,male,3
10382030,21,female,1
10370575,29,male,1
10034492,34,female,2
10076887,31,female,2
10078649,25,female,1
10368974,37,male,2
10049516,25,female,1
10087304,24,female,1
10185407,33,male,2
11111149,34,female,2
10357016,23,male,1
10171446,51,male,3
10026841,23,female,1
10507225,27,male,1
10389983,39,female,2
10684687,38,male,2
10101381,30,female,1
10015220,49,female,3
10301682,47,male,3
10165789,43,male,3
10072503,23,female,1
10927682,33,male,2
10542619,22,male,1
10056637,53,female,3
10898624,41,female,3
10052912,35,female,2
10482458,38,male,2
10001514,37,male,2
10032020,31,male,2
10443895,25,male,1
10049289,23,female,1
10072344,29,female,1
10025563,21,female,1
10076704,28,female,1
10068246,23,female,1
10043257,21,female,1
10133298,52,male,3
10097360,19,female,0
10029872,26,female,1
10531339,32,female,2
10001842,30,male,1
10851958,26,male,1
10210114,20,female,0
10280443,40,male,2
10193038,24,male,1
10942019,32,female,2
10066513,23,female,1
10739300,32,female,2
10487847,32,female,2
10080746,24,female,1
10628442,38,female,2
10830268,35,male,2
10141941,34,male,2
10573739,22,female,1
10007251,44,male,3
10038187,24,male,1
10363799,25,male,1
10571803,34,female,2
10960837,35,male,2
10930716,24,male,1
10053103,35,female,2
10157550,48,male,3
10522126,26,female,1
10033101,24,male,1
10787786,34,male,2
